HugoSymbol	grch38RefSeq	grch38Isoform
KMT2D	NM_003482.3	ENST00000301067
KMT5A	NM_020382.7	ENST00000402868
KNSTRN	NM_033286.3	ENST00000249776
KRAS	NM_004985.3	ENST00000311936
KSR2	NM_173598.6	ENST00000339824
L1TD1	NM_019079.5	ENST00000498273
LARP4B	NM_015155.2	ENST00000316157
LASP1	NM_006148.4	ENST00000318008
LATS1	NM_004690.3	ENST00000253339
LATS2	NM_014572.2	ENST00000382592
LCK	NM_001042771.2	ENST00000336890
LEF1	NM_016269	ENST00000265165
LGR5	NM_003667	ENST00000266674
LMNA	NM_170707	ENST00000368300
LMO1	NM_002315.2	ENST00000335790
LMO2	NM_001142315.1	ENST00000395833
LRP1B	NM_018557	ENST00000389484
LRP5	NM_001291902.1	ENST00000294304
LRP6	NM_002336.2	ENST00000261349
LTB	NM_002341.2	ENST00000429299
LTK	NM_002344	ENST00000263800
LYN	NM_002350.3	ENST00000519728
LZTR1	NM_006767.3	ENST00000646124
LZTS1	NM_021020.5	ENST00000381569
MAD2L2	NM_001127325.1	ENST00000235310
MAF	NM_001031804.2	ENST00000393350
MAFB	NM_005461.4	ENST00000373313
MAGI2	NM_012301.4	ENST00000354212
MAL2		ENST00000614891
MALT1	NM_006785.3	ENST00000649217
MAML2	NM_032427.4	ENST00000524717
MAP2K1	NM_002755.3	ENST00000307102
MAP2K2	NM_030662.3	ENST00000262948
MAP2K4	NM_003010.3	ENST00000353533
MAP3K1	NM_005921.1	ENST00000399503
MAP3K13	NM_004721.4	ENST00000265026
MAP3K14	NM_003954.3	ENST00000344686
MAP3K21	NM_032435	ENST00000366624
MAP3K7	NM_145331	ENST00000369329
MAP4K4	NM_001242559	ENST00000347699
MAPK1	NM_002745.4	ENST00000215832
MAPK3	NM_002746.2	ENST00000263025
MAPKAP1	NM_001006617.1	ENST00000265960
MASTL	NM_001172303.3	ENST00000375940
MAX	NM_002382.4	ENST00000358664
MBD4	NM_003925	ENST00000249910
MBD6	NM_052897.3	ENST00000355673
MCL1	NM_021960.4	ENST00000369026
MDC1	NM_014641.2	ENST00000376406
MDH2	NM_005918.4	ENST00000315758
MDM2	NM_002392.5	ENST00000258149
MDM4	NM_002393.4	ENST00000367182
MECOM	NM_001105078.3	ENST00000468789
MED12	NM_005120.2	ENST00000374080
MEF2B	NM_001145785.1	ENST00000424583
MEF2C	NM_001193350	ENST00000437473
MEF2D	NM_005920.3	ENST00000348159
MEN1	NM_130799.2	ENST00000312049
MERTK	NM_006343.2	ENST00000295408
MET	NM_000245.2	ENST00000397752
MGA	NM_001164273.1	ENST00000219905
MGAM	NM_004668.2	ENST00000549489
MIDEAS	NM_001043318.2	ENST00000286523
MITF	NM_000248.4	ENST00000394351
MKI67	NM_002417	ENST00000368654
MLF1	NM_022443.5	ENST00000355893
MLH1	NM_000249.3	ENST00000231790
MLH3	NM_001040108	ENST00000355774
MLLT1	NM_005934.3	ENST00000252674
MLLT10	NM_001195626.1	ENST00000307729
MLLT3	NM_004529	ENST00000380338
MN1	NM_002430	ENST00000302326
MOB3B	NM_024761.4	ENST00000262244
MPEG1	NM_001039396.1	ENST00000361050
MPL	NM_005373.2	ENST00000372470
MRE11	NM_005591.3	ENST00000323929
MS4A1	NM_021950	ENST00000345732
MSH2	NM_000251.2	ENST00000233146
MSH3	NM_002439.4	ENST00000265081
MSH6	NM_000179.2	ENST00000234420
MSI1	NM_002442.3	ENST00000257552
MSI2	NM_138962.2	ENST00000284073
MST1	NM_020998.3	ENST00000449682
MST1R	NM_002447.2	ENST00000296474
MTAP	NM_002451.3	ENST00000644715
